GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
8600000US75415,75415,ZCTA5 75415,73300,18446
8600000US75416,75416,ZCTA5 75416,74300,11506
8600000US75417,75417,ZCTA5 75417,81200,8103
8600000US75418,75418,ZCTA5 75418,92500,7383
8600000US75420,75420,ZCTA5 75420,122200,69004
8600000US75421,75421,ZCTA5 75421,85000,18698
8600000US75422,75422,ZCTA5 75422,89800,15779
8600000US75423,75423,ZCTA5 75423,95600,10056
8600000US75424,75424,ZCTA5 75424,121600,17556
8600000US75426,75426,ZCTA5 75426,61300,10040
8600000US75428,75428,ZCTA5 75428,84400,8441
8600000US75431,75431,ZCTA5 75431,92700,28733
8600000US75432,75432,ZCTA5 75432,66200,9125
8600000US75433,75433,ZCTA5 75433,81500,11640
8600000US75435,75435,ZCTA5 75435,58300,8441
8600000US75436,75436,ZCTA5 75436,82600,13237
8600000US75437,75437,ZCTA5 75437,116800,36390
8600000US75438,75438,ZCTA5 75438,78600,17000
8600000US75439,75439,ZCTA5 75439,86800,9309
8600000US75440,75440,ZCTA5 75440,115100,30970
8600000US75441,75441,ZCTA5 75441,42500,27879
8600000US75442,75442,ZCTA5 75442,113100,10980
8600000US75446,75446,ZCTA5 75446,84300,14106
8600000US75447,75447,ZCTA5 75447,93600,22532
8600000US75448,75448,ZCTA5 75448,70700,39210
8600000US75449,75449,ZCTA5 75449,70400,14414
8600000US75450,75450,ZCTA5 75450,100000,37100
8600000US75451,75451,ZCTA5 75451,114500,13732
8600000US75452,75452,ZCTA5 75452,115500,23149
8600000US75453,75453,ZCTA5 75453,101200,35407
8600000US75454,75454,ZCTA5 75454,186900,36990
8600000US75455,75455,ZCTA5 75455,96800,4681
8600000US75457,75457,ZCTA5 75457,98100,30009
8600000US75459,75459,ZCTA5 75459,117800,12468
8600000US75460,75460,ZCTA5 75460,66800,5573
8600000US75462,75462,ZCTA5 75462,116900,10966
8600000US75468,75468,ZCTA5 75468,134200,34227
8600000US75469,75469,ZCTA5 75469,70000,22062
8600000US75470,75470,ZCTA5 75470,71300,22101
8600000US75471,75471,ZCTA5 75471,76200,46084
