GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",5163,4737,42,56,28,8,224,68
1400000US48453001767,48453001767,"Census Tract 17.67, Travis County, Texas",7352,6876,60,27,47,4,194,144
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",3584,3342,20,22,23,0,119,58
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",4715,4140,78,13,76,5,301,102
1400000US48453001804,48453001804,"Census Tract 18.04, Travis County, Texas",6151,3228,575,52,214,8,1848,226
1400000US48453001805,48453001805,"Census Tract 18.05, Travis County, Texas",5372,2278,700,40,300,2,1915,137
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",6272,2964,986,50,134,1,1919,218
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",3735,1909,812,21,56,0,819,118
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",7398,2632,1091,66,200,20,3183,206
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",5128,2356,1280,26,170,8,1105,183
1400000US48453001817,48453001817,"Census Tract 18.17, Travis County, Texas",4302,3529,147,24,147,4,343,108
1400000US48453001818,48453001818,"Census Tract 18.18, Travis County, Texas",5944,3724,326,44,121,3,1527,199
1400000US48453001819,48453001819,"Census Tract 18.19, Travis County, Texas",3814,1568,570,40,372,5,1087,172
1400000US48453001820,48453001820,"Census Tract 18.20, Travis County, Texas",7414,3231,1075,47,348,6,2387,320
1400000US48453001821,48453001821,"Census Tract 18.21, Travis County, Texas",5258,3271,646,20,334,4,806,177
1400000US48453001822,48453001822,"Census Tract 18.22, Travis County, Texas",6086,2859,951,52,491,8,1519,206
1400000US48453001823,48453001823,"Census Tract 18.23, Travis County, Texas",5888,2484,1180,28,383,11,1615,187
1400000US48453001824,48453001824,"Census Tract 18.24, Travis County, Texas",1402,1276,16,3,24,0,65,18
1400000US48453001826,48453001826,"Census Tract 18.26, Travis County, Texas",2104,1627,156,12,185,0,86,38
1400000US48453001828,48453001828,"Census Tract 18.28, Travis County, Texas",4283,3600,243,26,157,1,136,120
1400000US48453001829,48453001829,"Census Tract 18.29, Travis County, Texas",2647,2171,133,7,157,1,100,78
1400000US48453001832,48453001832,"Census Tract 18.32, Travis County, Texas",2706,1941,427,12,87,1,194,44
1400000US48453001833,48453001833,"Census Tract 18.33, Travis County, Texas",6335,2929,1592,31,200,2,1394,187
1400000US48453001834,48453001834,"Census Tract 18.34, Travis County, Texas",2686,1611,592,18,98,2,294,71
1400000US48453001835,48453001835,"Census Tract 18.35, Travis County, Texas",4647,2425,1110,38,196,0,704,174
1400000US48453001836,48453001836,"Census Tract 18.36, Travis County, Texas",17008,11990,2248,44,882,20,1319,505
1400000US48453001837,48453001837,"Census Tract 18.37, Travis County, Texas",7905,6172,697,25,153,6,636,216
1400000US48453001839,48453001839,"Census Tract 18.39, Travis County, Texas",3758,1641,664,19,990,1,338,105
1400000US48453001840,48453001840,"Census Tract 18.40, Travis County, Texas",5376,3172,1005,16,420,7,568,188
1400000US48453001841,48453001841,"Census Tract 18.41, Travis County, Texas",7804,5916,603,28,369,2,699,187
1400000US48453001842,48453001842,"Census Tract 18.42, Travis County, Texas",4064,3191,292,12,46,9,389,125
1400000US48453001843,48453001843,"Census Tract 18.43, Travis County, Texas",2435,1718,203,2,285,0,151,76
1400000US48453001844,48453001844,"Census Tract 18.44, Travis County, Texas",3723,2524,449,12,364,5,260,109
1400000US48453001845,48453001845,"Census Tract 18.45, Travis County, Texas",3259,2656,173,17,177,0,161,75
1400000US48453001846,48453001846,"Census Tract 18.46, Travis County, Texas",2260,1996,63,16,90,0,48,47
1400000US48453001847,48453001847,"Census Tract 18.47, Travis County, Texas",4384,2796,397,13,614,4,420,140
1400000US48453001848,48453001848,"Census Tract 18.48, Travis County, Texas",3866,2410,319,28,657,1,335,116
1400000US48453001849,48453001849,"Census Tract 18.49, Travis County, Texas",4499,3102,253,19,694,7,292,132
1400000US48453001850,48453001850,"Census Tract 18.50, Travis County, Texas",3538,2491,319,17,389,3,216,103
1400000US48453001851,48453001851,"Census Tract 18.51, Travis County, Texas",7424,4765,772,34,1105,5,511,232
1400000US48453001852,48453001852,"Census Tract 18.52, Travis County, Texas",5793,3992,640,32,520,11,419,179
1400000US48453001853,48453001853,"Census Tract 18.53, Travis County, Texas",3499,2775,224,7,262,5,127,99
1400000US48453001901,48453001901,"Census Tract 19.01, Travis County, Texas",5541,4984,104,14,86,5,253,95
1400000US48453001904,48453001904,"Census Tract 19.04, Travis County, Texas",6079,5799,12,20,110,2,37,99
1400000US48453001906,48453001906,"Census Tract 19.06, Travis County, Texas",7988,7243,45,21,482,0,68,129
1400000US48453001908,48453001908,"Census Tract 19.08, Travis County, Texas",2481,2185,42,8,46,1,157,42
1400000US48453001909,48453001909,"Census Tract 19.09, Travis County, Texas",6913,6191,75,20,320,4,188,115
1400000US48453001910,48453001910,"Census Tract 19.10, Travis County, Texas",4340,4028,23,8,147,3,76,55
1400000US48453001911,48453001911,"Census Tract 19.11, Travis County, Texas",3083,2529,26,8,341,1,116,62
1400000US48453001912,48453001912,"Census Tract 19.12, Travis County, Texas",3313,3101,27,1,123,1,27,33
1400000US48453001913,48453001913,"Census Tract 19.13, Travis County, Texas",3978,3752,30,5,119,0,18,54
1400000US48453002002,48453002002,"Census Tract 20.02, Travis County, Texas",3188,2381,77,15,17,2,590,106
1400000US48453002003,48453002003,"Census Tract 20.03, Travis County, Texas",3876,2231,167,51,46,2,1269,110
1400000US48453002004,48453002004,"Census Tract 20.04, Travis County, Texas",2505,1805,149,32,82,1,368,68
1400000US48453002005,48453002005,"Census Tract 20.05, Travis County, Texas",5249,3415,369,39,125,6,1082,213
1400000US48453002104,48453002104,"Census Tract 21.04, Travis County, Texas",3128,2020,341,21,12,0,640,94
1400000US48453002105,48453002105,"Census Tract 21.05, Travis County, Texas",5075,2599,751,36,241,3,1239,206
1400000US48453002106,48453002106,"Census Tract 21.06, Travis County, Texas",3260,1700,626,25,18,2,782,107
1400000US48453002107,48453002107,"Census Tract 21.07, Travis County, Texas",5006,1623,2102,29,10,12,1109,121
1400000US48453002108,48453002108,"Census Tract 21.08, Travis County, Texas",3044,379,2237,4,10,2,347,65
1400000US48453002109,48453002109,"Census Tract 21.09, Travis County, Texas",3715,637,2491,24,11,1,499,52
1400000US48453002110,48453002110,"Census Tract 21.10, Travis County, Texas",3168,791,1270,20,2,0,1004,81
1400000US48453002111,48453002111,"Census Tract 21.11, Travis County, Texas",4532,1344,1100,31,6,4,1936,111
1400000US48453002112,48453002112,"Census Tract 21.12, Travis County, Texas",5854,2456,1498,33,30,4,1597,236
1400000US48453002113,48453002113,"Census Tract 21.13, Travis County, Texas",4092,1668,1606,32,33,3,666,84
1400000US48453002201,48453002201,"Census Tract 22.01, Travis County, Texas",1806,228,1165,14,11,0,308,80
1400000US48453002202,48453002202,"Census Tract 22.02, Travis County, Texas",4750,1144,2528,38,10,4,932,94
1400000US48453002205,48453002205,"Census Tract 22.05, Travis County, Texas",7794,2763,2497,83,19,3,2245,184
1400000US48453002206,48453002206,"Census Tract 22.06, Travis County, Texas",8437,4932,1429,94,49,11,1702,220
1400000US48453002303,48453002303,"Census Tract 23.03, Travis County, Texas",2015,797,793,0,3,0,14,408
1400000US48453002304,48453002304,"Census Tract 23.04, Travis County, Texas",6931,3272,458,42,342,2,2565,250
1400000US48453002307,48453002307,"Census Tract 23.07, Travis County, Texas",5320,3074,371,43,214,4,1454,160
1400000US48453002308,48453002308,"Census Tract 23.08, Travis County, Texas",5165,3343,333,39,66,7,1170,207
1400000US48453002310,48453002310,"Census Tract 23.10, Travis County, Texas",3612,1740,562,35,21,0,1085,169
1400000US48453002311,48453002311,"Census Tract 23.11, Travis County, Texas",8208,3717,1107,59,520,8,2404,393
1400000US48453002312,48453002312,"Census Tract 23.12, Travis County, Texas",4077,1476,221,76,22,1,2093,188
