GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total:,Built 1999 to March 2000,Built 1995 to 1998,Built 1990 to 1994,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",1656,26,25,16,400,901,223,47,18,0
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",2293,461,669,452,524,171,16,0,0,0
1400000US48453001715,48453001715,"Census Tract 17.15, Travis County, Texas",3074,170,457,297,1086,986,49,18,0,11
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",1707,13,480,308,744,103,51,0,0,8
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",2859,8,228,352,767,873,520,102,0,9
1400000US48453001719,48453001719,"Census Tract 17.19, Travis County, Texas",1582,51,181,326,702,162,142,6,0,12
1400000US48453001722,48453001722,"Census Tract 17.22, Travis County, Texas",2442,27,477,386,1299,230,7,10,0,6
1400000US48453001728,48453001728,"Census Tract 17.28, Travis County, Texas",2369,9,138,50,1087,964,105,7,0,9
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",1702,7,67,141,859,564,30,20,14,0
1400000US48453001732,48453001732,"Census Tract 17.32, Travis County, Texas",4381,659,1124,938,1334,289,23,0,0,14
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",1035,45,134,100,263,408,76,9,0,0
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",1978,478,938,378,91,85,8,0,0,0
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",2633,163,586,716,900,222,30,8,8,0
1400000US48453001739,48453001739,"Census Tract 17.39, Travis County, Texas",2908,149,286,283,1754,377,45,7,7,0
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",809,206,221,242,119,15,0,0,0,6
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",1483,73,268,127,446,216,131,132,68,22
