GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",957,58,468,68,179,52,289,60,76,44,213,55,489,87,352,83,137,48
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",886,59,332,54,164,46,168,60,32,21,136,56,554,69,340,67,214,50
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",1879,112,1012,135,534,127,478,112,102,61,376,89,867,144,598,128,269,104
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",1459,114,675,115,302,89,373,99,113,67,260,85,784,123,564,114,220,72
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",3207,278,813,226,784,220,29,36,12,20,17,29,2394,296,1893,312,501,198
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",3162,180,801,169,611,144,190,91,79,48,111,77,2361,205,2009,227,352,145
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",1839,154,594,120,447,97,147,78,35,50,112,59,1245,162,882,164,363,144
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",1982,100,731,127,519,103,212,87,70,52,142,70,1251,150,839,150,412,127
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",2742,128,1066,146,625,128,441,139,69,59,372,135,1676,181,1228,221,448,145
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",1838,78,686,113,382,88,304,101,109,69,195,96,1152,139,855,144,297,86
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",1371,80,495,113,268,73,227,95,54,46,173,86,876,129,632,113,244,92
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",1707,129,440,80,382,79,58,34,25,24,33,23,1267,135,806,145,461,109
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",1354,87,484,91,299,70,185,80,48,42,137,75,870,114,539,103,331,103
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",789,59,189,55,142,50,47,28,39,26,8,10,600,80,354,73,246,78
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",2333,110,1341,139,1149,137,192,90,39,39,153,80,992,155,820,160,172,98
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",1753,91,828,110,544,110,284,86,81,49,203,81,925,129,605,128,320,104
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",2268,141,1199,169,930,175,269,120,88,75,181,100,1069,212,729,162,340,130
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",2248,44,911,154,701,157,210,100,20,29,190,98,1337,155,1087,165,250,107
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",1715,106,664,116,537,104,127,77,50,54,77,57,1051,144,760,137,291,95
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",1735,108,1305,110,1171,107,134,67,33,38,101,59,430,100,313,94,117,55
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",1762,89,1071,112,974,124,97,45,9,14,88,43,691,125,529,118,162,76
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",1881,114,795,104,718,107,77,47,8,12,69,46,1086,154,787,166,299,113
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",2092,112,1156,140,1039,155,117,71,28,32,89,65,936,171,812,164,124,64
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",1818,85,965,122,734,102,231,91,105,74,126,59,853,115,765,116,88,39
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",2332,125,976,166,806,155,170,90,29,33,141,83,1356,189,1016,171,340,143
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",2009,76,1074,129,653,99,421,116,145,90,276,83,935,129,794,112,141,79
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",1930,85,1033,125,625,104,408,114,97,73,311,107,897,138,579,121,318,103
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",5414,295,3420,329,2760,304,660,253,192,150,468,224,1994,395,1481,354,513,260
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",2643,177,1346,155,1181,154,165,125,56,91,109,92,1297,203,1170,210,127,62
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",2853,139,1352,246,1086,212,266,159,23,32,243,160,1501,228,1080,202,421,136
1400000US48453001719,48453001719,"Census Tract 17.19, Travis County, Texas",1683,50,1257,103,1136,104,121,44,8,13,113,43,426,101,299,83,127,63
1400000US48453001722,48453001722,"Census Tract 17.22, Travis County, Texas",2286,154,551,150,505,146,46,41,13,22,33,35,1735,215,1434,205,301,132
1400000US48453001728,48453001728,"Census Tract 17.28, Travis County, Texas",2947,156,1870,208,1495,190,375,140,80,60,295,131,1077,253,741,198,336,141
