,team,year,DL,LB,OL,QB,RB,S,ST,TE,WR,nDL,nLB,nOL,nQB,nRB,nS,nST,nTE,nWR
56,OAK,2014,17942886.0,10451794.0,17139897.0,9471691.0,6964329.0,24671987.0,4707834.0,2044661.0,8233137.0,11.0,7.0,9.0,3.0,6.0,15.0,3.0,5.0,7.0
57,PHI,2014,10798295.0,22709719.0,29731523.0,3665137.0,12273334.0,21474680.0,2808333.0,5720045.0,10447603.0,8.0,9.0,12.0,3.0,3.0,11.0,3.0,3.0,6.0
58,PIT,2014,9316267.0,28511997.0,14624414.0,21333138.0,1631239.0,23908811.0,2817500.0,7740666.0,7522649.0,7.0,10.0,9.0,3.0,4.0,12.0,3.0,3.0,5.0
59,SF,2014,15718659.0,23214157.0,23006703.0,6114325.0,8265671.0,14782345.0,4970000.0,9376440.0,13873396.0,9.0,11.0,12.0,3.0,5.0,16.0,3.0,5.0,8.0
60,SEA,2014,26346276.0,11323329.0,23127926.0,2067302.0,9451030.0,21581371.0,3987500.0,6500662.0,6701964.0,12.0,11.0,11.0,2.0,3.0,10.0,3.0,5.0,9.0
61,TB,2014,39035821.0,6119320.0,20324154.0,5455469.0,3477896.0,23300343.0,4090000.0,4133807.0,16661743.0,9.0,10.0,10.0,2.0,4.0,11.0,3.0,4.0,7.0
62,TEN,2014,14218025.0,15419780.0,26107174.0,6022974.0,6864209.0,24684734.0,2631042.0,8034051.0,9844068.0,8.0,10.0,13.0,4.0,5.0,11.0,3.0,6.0,7.0
63,WAS,2014,22724509.0,20274665.0,26695200.0,7082926.0,2659357.0,10677614.0,1902500.0,3668180.0,18423622.0,10.0,10.0,10.0,3.0,4.0,16.0,3.0,4.0,7.0
64,ARI,2015,24896114.0,13706029.0,29145678.0,11834168.0,2860934.0,25895097.0,1760500.0,5182956.0,16902091.0,12.0,12.0,11.0,3.0,5.0,10.0,3.0,5.0,8.0
65,ATL,2015,22204066.0,7474613.0,14953409.0,20096474.0,1687750.0,12454285.0,7148553.0,2839586.0,23877288.0,10.0,7.0,10.0,2.0,3.0,11.0,4.0,5.0,6.0
66,BAL,2015,8206652.0,21521043.0,21363347.0,16944411.0,2823822.0,23278204.0,5421000.0,8697947.0,8292728.0,9.0,10.0,11.0,4.0,4.0,15.0,3.0,9.0,10.0
