state00,county00,tract00,geoid00,pop00,hu00,part00,area00,arealand00,state10,county10,tract10,geoid10,pop10,hu10,part10,area10,arealand10,areaapt,arealandpt,areapct00pt,arealandpct00pt,areapct10pt,arealandpct10pt,pop10pt,poppct00,poppct10,hu10pt,hupct00,hupct10
48,005,001100,48005001100,6079,2575,P,263620511,240358857,48,005,000200,48005000200,6580,2792,P,129906115,125549411,186,186,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,005,001100,48005001100,6079,2575,P,263620511,240358857,48,005,001100,48005001100,6079,2575,W,263620325,240358671,263620325,240358671,100.00,100.00,100.00,100.00,6079,100.00,100.00,2575,100.00,100.00
48,005,001200,48005001200,2989,2213,P,497956776,399098735,48,005,001200,48005001200,2989,2213,W,497954400,399096544,497954400,399096544,100.00,100.00,100.00,100.00,2989,100.00,100.00,2213,100.00,100.00
48,005,001200,48005001200,2989,2213,P,497956776,399098735,48,241,950100,48241950100,6030,3761,P,766633570,713129222,2376,2191,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,005,001300,48005001300,5181,2406,P,439612885,403384150,48,005,001300,48005001300,5181,2406,W,439612883,403384150,439612883,403384150,100.00,100.00,100.00,100.00,5181,100.00,100.00,2406,100.00,100.00
48,005,001300,48005001300,5181,2406,P,439612885,403384150,48,241,950100,48241950100,6030,3761,P,766633570,713129222,2,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,007,950100,48007950100,5501,4453,P,1102594932,474986241,48,007,950100,48007950100,5495,4448,P,942018987,474924150,942015700,474922263,85.44,99.99,100.00,100.00,5495,99.89,100.00,4448,99.89,100.00
48,007,950100,48007950100,5501,4453,P,1102594932,474986241,48,007,950300,48007950300,6609,3427,P,16829713,16795879,63978,63978,0.01,0.01,0.38,0.38,6,0.11,0.09,5,0.11,0.15
48,007,950100,48007950100,5501,4453,P,1102594932,474986241,48,007,990000,48007990000,0,0,W,160515254,0,160515254,0,14.56,0.00,100.00,0.00,0,0.00,0.00,0,0.00,0.00
48,007,950200,48007950200,1163,1502,W,20281193,2675931,48,007,950200,48007950200,1163,1502,W,20281193,2675931,20281193,2675931,100.00,100.00,100.00,100.00,1163,100.00,100.00,1502,100.00,100.00
48,007,950300,48007950300,6603,3422,W,16765735,16731901,48,007,950300,48007950300,6609,3427,P,16829713,16795879,16765735,16731901,100.00,100.00,99.62,99.62,6603,100.00,99.91,3422,100.00,99.85
48,007,950400,48007950400,3583,2172,W,6039738,6039738,48,007,950400,48007950400,3583,2172,W,6039738,6039738,6039738,6039738,100.00,100.00,100.00,100.00,3583,100.00,100.00,2172,100.00,100.00
