Request ID,Location Name,Landmark,Request Type,Request Status,Evaluation Status,Funding Status,Evaluation Rank,Evaluation Score,Ranking Month,Ranking Year,Primary St Block,Primary St Prefix Direction,Primary St,Cross St Block,Cross St Prefix,Cross St,Evaluation ID,Location,Request Note,Location Latitude,Location Longitude
REQ14-001135,45TH ST / BENNETT AVE,,PHB,STUDY,COMPLETED,None Identified,18,501,JUL,2014,1000,E,45TH ST,4500,,BENNETT AVE,PVL14-000185,,,30.303949,-97.7178118
REQ14-001140,832 BLK E RUNDBERG LN (Harmony School),Harmony School,PHB,STUDY,COMPLETED,None Identified,25,476,JUL,2014,832,E,RUNDBERG LN,0,,,PVL14-000195,,,30.356631,-97.685318
REQ15-001145,GUADALUPE ST / 28TH ST,,PHB,STUDY,COMPLETED,None Identified,2,500,JUL,2015,2800,,GUADALUPE ST,501,W,28TH ST,PVL15-000205,,,30.2932473,-97.7417613
REQ15-001150,4500 BLK WEST GATE BLVD,,PHB,STUDY,COMPLETED,None Identified,3,495,JUL,2015,4500,,WEST GATE BLVD,0,,,PVL15-000215,,,30.2306123,-97.8007764
REQ14-001160,MANOR RD / WALNUT AVE,,PHB,RECOMMENDED,COMPLETED,None Identified,24,477,JUL,2014,2600,,MANOR RD,3100,,WALNUT AVE,PVL14-000235,,,30.2850712,-97.7141833
REQ14-001165,STASSNEY LN / SALEM WALK DR,,PHB,STUDY,COMPLETED,None Identified,19,491,JUL,2014,808,W,STASSNEY LN,5503,,SALEM WALK DR,PVL14-000245,,,30.2091628,-97.7844049
REQ14-001170,DITTMAR RD / FOREST WOOD RD,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,20,485,JUL,2014,1008,W,DITTMAR RD,7901,,FOREST WOOD RD,PVL14-000255,,,30.1857738,-97.80149
REQ14-001180,LAMAR BLVD / MEADOWLARK ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,37,434,JUL,2014,8318,N,LAMAR BLVD,800,,MEADOWLARK ST,PVL14-000265,,,30.3521043,-97.7072939
REQ14-001180,LAMAR BLVD / MEADOWLARK ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,18,436,DEC,2016,8318,N,LAMAR BLVD,800,,MEADOWLARK ST,PVL16-000165,,,30.3521043,-97.7072939
REQ14-001190,6TH ST / SABINE ST,,PHB,STUDY,COMPLETED,None Identified,30,461,JUL,2014,600,E,6TH ST,600,,SABINE ST,PVL14-000285,,,30.2661836,-97.7361797
REQ14-001195,AIRPORT BLVD / GUNTER ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,33,445,JUL,2014,1137,,AIRPORT BLVD,1136,,GUNTER ST,PVL14-000295,,,30.269581,-97.6967158
REQ14-001195,AIRPORT BLVD / GUNTER ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,45,395,DEC,2016,1137,,AIRPORT BLVD,1136,,GUNTER ST,PVL16-000170,,,30.269581,-97.6967158
REQ14-001290,MANCHACA RD / EDGEWARE DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,49,407,JUL,2014,3200,,MANCHACA RD,1901,,EDGEWARE DR,PVL14-000440,,,30.2397255,-97.7823447
REQ14-001210,WEST GATE BLVD / BERKELEY AVE,,PHB,STUDY,COMPLETED,None Identified,28,470,JUL,2014,6705,,WEST GATE BLVD,2615,,BERKELEY AVE,PVL14-000330,,,30.208757,-97.8143408
REQ16-001215,GREYSTONE DR / WEST RIM DR,,PHB,NOT RECOMMENDED,COMPLETED,1/4 Cent,12,0,,,4206,,GREYSTONE DR,7500,,WEST RIM DR,PVL16-001225,,Does not meet PHB installation requirements.,30.36723,-97.76843
REQ14-001220,LAMAR BLVD / DEEN AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,49,407,JUL,2014,8800,N,LAMAR BLVD,101,,DEEN AVE,PVL14-000350,,,30.356575,-97.7012711
REQ14-001220,LAMAR BLVD / DEEN AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,52,383,DEC,2016,8800,N,LAMAR BLVD,101,,DEEN AVE,PVL16-000180,,,30.356575,-97.7012711
REQ14-001230,MANOR RD / SWEENEY LN,,PHB,STUDY,COMPLETED,None Identified,31,453,JUL,2014,5900,,MANOR RD,2500,,SWEENEY LN,PVL14-000365,,,30.3064816,-97.6800484
