,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016
,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate
78741,21.7,12.5,23.2,18.4,4.6,13.0,6.6,19.7,13.7,20.8,19.7,4.6,14.7,7.0,18.2,14.1,21.4,20.3,4.3,14.9,7.0,18.4,12.6,21.0,19.6,4.5,16.7,7.1,14.4,10.6,20.4,18.9,6.0,20.7,9.0,14.4,10.6,20.4,18.9,6.0,20.7,9.0
78742,24.9,30.0,19.6,11.3,0.0,8.3,5.8,14.6,29.0,24.1,17.4,0.9,9.3,4.6,17.9,25.0,20.2,14.1,1.5,12.8,8.5,12.4,15.7,27.1,20.0,4.8,11.0,9.0,18.3,19.3,21.4,20.5,10.3,8.8,1.4,18.3,19.3,21.4,20.5,10.3,8.8,1.4
78744,22.4,14.5,24.8,20.4,4.6,9.1,4.2,20.8,15.8,25.6,19.4,5.1,9.5,3.7,20.5,14.9,27.4,18.6,5.0,10.0,3.6,20.5,14.2,26.3,18.7,5.4,11.3,3.5,19.3,13.5,27.9,18.2,5.1,12.0,3.9,19.3,13.5,27.9,18.2,5.1,12.0,3.9
78745,7.0,7.4,20.5,23.6,8.0,23.8,9.7,5.9,6.4,20.4,25.2,7.2,24.8,10.1,5.6,7.5,21.3,24.7,5.9,24.9,10.1,5.6,7.4,21.2,24.5,5.2,25.6,10.5,5.5,7.3,20.3,23.6,5.6,26.5,11.3,5.5,7.3,20.3,23.6,5.6,26.5,11.3
78746,0.7,0.4,4.4,11.5,3.5,42.5,37.0,0.4,0.5,4.6,11.9,3.4,42.4,36.9,0.4,0.5,5.0,11.8,3.3,42.3,36.8,0.2,0.5,5.6,12.7,3.2,42.7,35.1,0.2,0.6,4.8,11.8,3.3,43.5,35.8,0.2,0.6,4.8,11.8,3.3,43.5,35.8
78747,7.0,8.2,25.2,25.3,5.3,20.6,8.4,6.4,7.7,25.6,27.0,6.5,20.2,6.5,8.5,6.8,25.7,23.9,5.7,23.0,6.4,7.0,6.6,27.4,23.1,5.1,23.8,7.0,8.9,5.1,25.2,23.9,5.8,23.3,7.7,8.9,5.1,25.2,23.9,5.8,23.3,7.7
78748,3.4,4.6,18.2,25.2,8.2,28.6,11.8,3.5,4.5,18.8,25.8,7.3,28.7,11.4,3.0,4.1,18.5,25.0,7.4,30.4,11.5,2.2,4.1,19.4,25.6,6.7,29.6,12.5,2.5,4.6,19.7,24.0,6.3,29.4,13.7,2.5,4.6,19.7,24.0,6.3,29.4,13.7
78749,1.2,1.0,12.0,19.7,6.6,38.7,20.7,1.2,1.1,12.1,19.9,6.4,38.6,20.8,1.1,1.4,11.5,18.3,6.5,39.8,21.3,1.1,1.4,10.3,18.4,5.8,39.6,23.4,0.8,1.6,9.6,20.3,5.5,39.7,22.6,0.8,1.6,9.6,20.3,5.5,39.7,22.6
78750,1.1,2.4,13.1,19.5,7.2,35.3,21.4,1.1,2.6,14.5,18.2,6.1,34.5,23.0,1.3,2.2,14.2,20.3,5.7,34.9,21.4,1.2,2.2,15.5,18.6,6.8,33.6,22.1,2.1,2.1,14.2,18.3,6.3,34.1,22.9,2.1,2.1,14.2,18.3,6.3,34.1,22.9
78751,1.2,1.6,8.5,18.9,6.2,33.7,29.8,1.3,1.3,8.1,20.6,5.8,36.3,26.6,1.2,1.4,7.5,18.4,4.8,37.8,28.9,1.7,1.6,9.1,16.2,4.1,38.5,28.9,1.6,1.4,9.4,13.3,3.0,42.4,28.8,1.6,1.4,9.4,13.3,3.0,42.4,28.8
78752,21.4,15.2,20.9,13.4,6.3,14.6,8.1,21.3,14.8,21.3,13.5,4.9,15.1,9.0,19.3,13.8,21.3,15.6,4.1,17.4,8.5,20.0,11.7,21.1,17.4,3.0,17.8,9.0,17.2,9.6,22.0,19.7,2.4,20.5,8.6,17.2,9.6,22.0,19.7,2.4,20.5,8.6
78753,15.0,13.8,26.0,19.9,6.0,14.0,5.3,15.6,14.2,24.9,20.3,5.2,14.1,5.8,15.5,14.1,25.1,20.2,5.2,14.9,5.0,16.5,13.8,25.1,20.1,4.9,14.3,5.3,15.7,11.7,28.6,20.6,4.8,13.8,4.8,15.7,11.7,28.6,20.6,4.8,13.8,4.8
78754,4.3,5.6,20.1,23.6,8.2,26.8,11.4,3.8,4.5,21.4,24.2,7.9,27.3,11.0,4.8,4.2,24.5,24.4,6.8,24.4,10.9,5.6,4.9,25.3,21.4,8.4,22.9,11.4,7.1,5.3,22.5,20.3,9.8,21.9,13.1,7.1,5.3,22.5,20.3,9.8,21.9,13.1
78756,0.6,4.2,12.7,16.0,4.7,36.6,25.2,1.0,3.1,9.6,17.5,3.7,37.8,27.3,1.3,4.9,7.8,15.9,4.1,36.1,30.0,0.8,3.6,11.4,13.3,3.9,35.6,31.5,1.4,2.3,9.6,10.5,3.2,42.8,30.1,1.4,2.3,9.6,10.5,3.2,42.8,30.1
78757,6.2,4.2,17.0,19.1,5.6,28.8,19.2,6.0,2.9,15.9,19.0,5.5,30.7,20.0,4.5,3.6,15.3,19.1,5.5,31.1,20.9,4.1,3.1,15.3,17.6,5.8,33.5,20.6,4.1,3.2,14.2,16.4,5.7,35.9,20.5,4.1,3.2,14.2,16.4,5.7,35.9,20.5
78758,12.1,8.9,21.8,20.1,5.9,21.5,9.8,12.0,9.8,21.4,20.7,5.9,21.2,8.9,11.9,9.2,21.8,20.2,5.7,22.7,8.5,10.7,8.9,23.4,19.8,6.0,22.1,9.1,10.4,7.8,23.7,20.1,5.3,23.1,9.5,10.4,7.8,23.7,20.1,5.3,23.1,9.5
78759,1.3,2.1,9.0,17.9,5.2,37.5,27.1,1.3,2.2,10.1,17.2,4.9,37.8,26.5,1.3,1.7,9.7,18.3,4.9,37.8,26.4,1.1,1.4,9.6,18.4,4.7,37.2,27.6,1.1,1.3,9.2,17.9,4.8,37.6,28.1,1.1,1.3,9.2,17.9,4.8,37.6,28.1
